Year,C-GNI,C-TRADE,C-RESERV,C-GOV.EXP,C-ENE.PROD,C-FISH,C-LITERAC,C-POPU,C-BIRTH,C-DEATH,C-LIFE.EX,C-MED.AGE,C-FERTI,C-DEP.RAT
1951,-0.00099471,-0.981607758,0.000348827,0,0,0,0,0,0.8170347,0.60301769,0,0.243470417,1,0.621918003
1952,0,-0.981589108,0.000365215,0.000284486,0.002777851,0.004614584,0.045574921,0.014563466,0.791798107,0.561394381,0.078811595,0.212410651,0.926474277,0.681941547
1953,0.000212828,-0.981613087,0.000360532,0.000552699,0.003644094,0.009229168,0.091149843,0.030753308,0.791798107,0.405306972,0.13907697,0.183682336,0.861677636,0.731430657
1954,0.00026468,-0.981437238,0.000360012,0.000694373,0.006662732,0.013843752,0.136724764,0.048865232,0.822397476,0.36264308,0.183040572,0.157238529,0.805610076,0.761497599
1955,0.000340554,-0.981642395,0.000383944,0.000800315,0.009834063,0.018458336,0.182299686,0.063638156,0.652996845,0.315816857,0.212946845,0.133032287,0.758271597,0.775655472
1956,0.000515005,-0.981240074,0.000367556,0.00100395,0.01246803,0.023072921,0.227874607,0.080431729,0.630914826,0.270031217,0.231040239,0.111016666,0.719662199,0.826407568
1957,0.000574621,-0.981192115,0.000369117,0.000989328,0.016940194,0.027687505,0.273449529,0.102917622,0.698107256,0.238813736,0.2395652,0.091144722,0.689781883,0.849630029
1958,0.000927478,-0.9811708,0.00035533,0.001583391,0.046454129,0.032302089,0.31902445,0.119440132,0.54637224,0.300208117,0.240766176,0.073369513,0.668630648,0.861824606
1959,0.001125512,-0.981128169,0.000364434,0.002395939,0.067907597,0.041531257,0.364599372,0.13438555,0.406309148,0.436004162,0.236887615,0.057644094,0.656208494,0.876560842
1960,0.001158615,-0.981359971,0.000349087,0.002967813,0.074796433,0.050760425,0.410174293,0.122064513,0.282649842,1,0.230173961,0.043921523,0.652515421,0.897342596
1961,0.000810298,-0.981186786,0.000360272,0.001331507,0.049980766,0.059989593,0.455749215,0.117776792,0.196529968,0.422476587,0.222869663,0.032154855,0.657551429,0.904275723
1962,0.00070762,-0.980957649,0.000358191,0.00098324,0.037947327,0.069218762,0.501324136,0.135482122,0.79873817,0.201352758,0.217219168,0.022297148,0.671316519,0.932483367
1963,0.000833734,-0.980931005,0.000368076,0.001194727,0.037647812,0.07844793,0.546899058,0.158596387,1,0.20239334,0.215466927,0.014301458,0.69381069,0.966718857
1964,0.001158323,-0.980957649,0.000380302,0.00154601,0.038047165,0.087677098,0.592473979,0.174946403,0.865615142,0.278355879,0.21985738,0.008120842,0.725033942,0.986209143
1965,0.001545162,-0.98110419,0.000364434,0.001922555,0.042857017,0.096906266,0.600951349,0.200068998,0.823343849,0.171175858,0.232634977,0.003708356,0.764986275,0.983894902
1966,0.001771759,-0.981181457,0.000392008,0.002364532,0.048624141,0.106135435,0.609428719,0.224760356,0.73533123,0.138397503,0.256044167,0.001017056,0.791509253,1
1967,0.00163334,-0.981168135,0.000393048,0.001808021,0.038763651,0.115364603,0.61790609,0.247258569,0.700946372,0.117585848,0.292329396,0,0.807288746,0.991938819
1968,0.001559956,-0.981133498,0.000401112,0.001341464,0.042504647,0.124593771,0.62638346,0.273945935,0.752365931,0.106139438,0.343735111,0.000610244,0.812324754,0.971163477
1969,0.001879418,-0.9809763,0.000462761,0.00229745,0.054940376,0.133822939,0.63486083,0.300275991,0.705047319,0.096253902,0.41250576,0.002800844,0.806617278,0.953078482
1970,0.002344475,-0.981293361,0.000360012,0.003000415,0.077647694,0.143052107,0.6433382,0.328873118,0.684227129,0.074401665,0.500885789,0.006524856,0.790166317,0.943341842
1971,0.002604029,-0.980883046,0.000346746,0.003471296,0.089795655,0.152281276,0.65181557,0.356435278,0.594321767,0.058792924,0.537821995,0.011735339,0.762971872,0.948813759
1972,0.002743912,-0.980808443,0.000398511,0.003662982,0.096760838,0.161510444,0.66029294,0.380436658,0.568454259,0.074921956,0.573403055,0.018385347,0.725033942,0.951778301
1973,0.003042428,-0.980957649,0.000316051,0.003907185,0.102369395,0.170739612,0.66877031,0.405497647,0.510094637,0.045265349,0.605282983,0.026427939,0.676352527,0.951664894
1974,0.003147157,-0.981669039,0.000337121,0.003801754,0.106944334,0.17996878,0.67724768,0.425802716,0.411671924,0.060874089,0.633762087,0.035816169,0.616927628,0.943829565
1975,0.003457391,-0.981429245,0.000384724,0.00397603,0.127273154,0.189197949,0.685725051,0.445035854,0.354258675,0.059833507,0.659129033,0.046503095,0.546759245,0.924836385
1976,0.003382835,-0.981165471,0.000488254,0.003892505,0.132135862,0.198427117,0.694202421,0.461016239,0.255835962,0.056191467,0.681660853,0.058441773,0.418444744,0.893272421
1977,0.00376572,-0.981128169,0.00058476,0.004104902,0.149763178,0.207656285,0.702679791,0.476503783,0.224921136,0.036420395,0.701622954,0.071585261,0.345793497,0.854291753
1978,0.004393657,-0.98183956,0.000380562,0.00568983,0.168908622,0.216885453,0.711157161,0.492336315,0.200315457,0.002081165,0.719269081,0.085886614,0.284825725,0.80811993
1979,0.005011488,-0.9821433,0.000555626,0.006598477,0.173856486,0.193166008,0.719634531,0.508144205,0.186750789,0,0.73484139,0.101298888,0.234668517,0.756450205
1980,0.005724967,-0.982047382,0,0.00629715,0.170858403,0.195900293,0.728111901,0.522473571,0.199053628,0.006763788,0.748570368,0.117775142,0.194448966,0.701731851
1981,0.006231916,-0.981314676,0.001041538,0.005782686,0.168855766,0.193624909,0.736589271,0.539316429,0.284227129,0.00780437,0.760674872,0.13526843,0.163294164,0.641399971
1982,0.006886365,-0.979811964,0.002154351,0.006303693,0.178604673,0.218587211,0.745796637,0.558808309,0.327444795,0.020291363,0.771362146,0.15373181,0.140331202,0.585102809
1983,0.007857932,-0.980872389,0.002652489,0.007325225,0.190908263,0.21243985,0.755004003,0.575490993,0.261514196,0.035900104,0.780827783,0.173118339,0.124687172,0.532260324
1984,0.009718748,-0.982377765,0.002475344,0.008983777,0.21025632,0.227373253,0.764211369,0.592112072,0.252365931,0.031737773,0.789255739,0.193381072,0.115489167,0.483930235
1985,0.012369063,-0.993274829,0.00102489,0.010709069,0.232379291,0.234534021,0.773418735,0.610519701,0.288328076,0.029656608,0.796818345,0.214473067,0.111864277,0.442176551
1986,0.014202634,-0.992401177,0.000876099,0.011850768,0.239776128,0.267823464,0.782626101,0.630923339,0.332176656,0.033818939,0.803676304,0.23634738,0.112939596,0.416997289
1987,0.01682629,-0.985154053,0.001097465,0.012176618,0.248585381,0.308244993,0.791833467,0.653014958,0.360567823,0.02653486,0.809978662,0.258957067,0.117842214,0.397887945
1988,0.021231958,-0.988996095,0.001214261,0.013479734,0.261162058,0.318981364,0.801040833,0.674281067,0.330283912,0.022372529,0.815862858,0.282255185,0.125699223,0.383701324
1989,0.02418196,-0.98780778,0.001780812,0.015371962,0.277623616,0.338178722,0.810248199,0.694955767,0.305362776,0.017169615,0.821454685,0.306194791,0.135637717,0.370756596
1990,0.026723151,-0.970346474,0.003222682,0.016850207,0.283699064,0.376621241,0.819455564,0.715026737,0.288958991,0.023933403,0.826868283,0.330728941,0.146784785,0.355894194
1991,0.031303418,-0.969896459,0.005984943,0.018574362,0.286644291,0.417817166,0.82866293,0.733385082,0.245425868,0.025494277,0.832206204,0.355810692,0.147870655,0.357353812
1992,0.03885844,-0.975105063,0.005394721,0.020597511,0.293339324,0.466938693,0.840939418,0.749993839,0.2,0.022372529,0.837559324,0.3813931,0.11260071,0.344044272
1993,0.051149139,-1,0.005851499,0.025718824,0.302991329,0.504960552,0.853215906,0.766577955,0.195268139,0.022372529,0.843006909,0.407429222,0.083705179,0.323832791
1994,0.070116157,-0.96900842,0.013764745,0.032263818,0.323393559,0.590985368,0.865492394,0.783001897,0.1829653,0.014568158,0.848616566,0.433872114,0.060423183,0.306883762
1995,0.087412485,-0.943912589,0.019481499,0.038130485,0.351307146,0.696886333,0.877768882,0.798661935,0.16466877,0.018730489,0.8544443,0.460674834,0.042039303,0.297057192
1996,0.102679551,-0.954161941,0.02765773,0.044467861,0.362715129,0.759392472,0.89004537,0.81428501,0.160252366,0.018210198,0.860534467,0.487790437,0.027883845,0.26917373
1997,0.114431662,-0.891945381,0.036725928,0.051841789,0.363563754,0.771725437,0.902321857,0.829526133,0.147318612,0.015608741,0.866919776,0.51517198,0.017332872,0.258396672
1998,0.121776932,-0.885463468,0.038044499,0.060744033,0.352672581,0.847903002,0.914598345,0.84351051,0.117981073,0.01508845,0.873621333,0.54277252,0.009807923,0.253850557
1999,0.129904671,-0.916745732,0.040571868,0.074339552,0.359370549,0.84982465,0.926874833,0.856139573,0.086435331,0.013007284,0.880648576,0.570545113,0.004776382,0.240716317
2000,0.144112139,-0.928140769,0.043406964,0.089695128,0.366646993,0.829403555,0.939151321,0.867930805,0.067192429,0.012486993,0.887999329,0.598442816,0.001751219,0.213556619
2001,0.15906736,-0.931614326,0.055526422,0.106855766,0.388602588,0.814623119,0.951427809,0.878822602,0.046687697,0.01144641,0.895659787,0.626418685,0.000290979,0.193216948
2002,0.175478687,-0.914233485,0.07483858,0.124781614,0.407994691,0.820942568,0.954897251,0.888999778,0.030283912,0.010405827,0.903604488,0.654425777,0,0.158078942
2003,0.199055121,-0.925564576,0.105232559,0.139556669,0.4701704,0.826047842,0.958366693,0.898536261,0.016088328,0.009885536,0.911796359,0.682417149,0.000528238,0.115805613
2004,0.235438137,-0.910237708,0.158995337,0.161387767,0.538439177,0.816965426,0.961836136,0.90791257,0.012302839,0.010926119,0.920186682,0.710345857,0.001571252,0.078439888
2005,0.271446764,-0.758185587,0.213345736,0.19235911,0.596289543,0.845837947,0.965305578,0.917375126,0.015772871,0.015608741,0.928715112,0.738164957,0.002870346,0.051519362
2006,0.319826797,-0.602409189,0.27771925,0.229299306,0.645779927,0.824929271,0.96877502,0.925901284,0.005993691,0.031217482,0.937309662,0.765827507,0.004212369,0.03187007
2007,0.39551837,-0.439637452,0.397872026,0.282547195,0.692727374,0.824173996,0.972244462,0.93429191,0.006309148,0.037460978,0.945886711,0.793286562,0.005429946,0.020161871
2008,0.469525483,-0.425297472,0.506547072,0.355439909,0.733132482,0.798418178,0.975713904,0.942583968,0.007570978,0.044224766,0.954351021,0.82049518,0.006401365,0.014557935
2009,0.508642158,-0.623982971,0.624415175,0.433430381,0.781098866,0.814173779,0.979183347,0.950568,0.001577287,0.045265349,0.962595688,0.847406417,0.007050456,0.010431692
2010,0.600070542,-0.652970935,0.740999304,0.510663893,0.861700597,0.838552894,0.982652789,0.958465784,0,0.046826223,0.970502209,0.873973329,0.007346778,0.005372541
2011,0.707053815,-0.712764503,0.827831441,0.620894344,0.935959665,1,0.986122231,0.966400532,0.000946372,0.048387097,0.977940422,0.900148973,0.00730563,0.003790211
2012,0.786056744,-0.593423288,0.861762333,0.715942072,0.985608617,0.867893876,0.989591673,0.974643306,0.006309148,0.048907388,0.984768554,0.925886405,0.006987756,0.002000834
2013,0.8604838,-0.552506612,0.994354519,0.79707247,1,0.880637939,0.993061116,0.982873759,0.005678233,0.04942768,0.990833162,0.951138683,0.00649985,0.000427828
2014,0.939516317,-0.354496534,1,0.86292217,0.990301012,0.94383243,0.996530558,0.991621695,0.014826498,0.04942768,0.995969207,0.975858862,0.005994015,0
2015,1,0,0.866645649,1,0.990301012,0.975840775,1,1,0.005362776,0.046826223,1,1,0.005668131,0.00111308
